"ObjectId","Landkreis","Bundesland","Infektionen","Todesfälle","Letalitätsrate","Aktualisiert"
"277","Kronach","Bayern","197","3","1.52284263959391","2020-10-11"
"278","Kulmbach","Bayern","324","11","3.39506172839506","2020-10-11"
"279","Lichtenfels","Bayern","395","17","4.30379746835443","2020-10-11"
"280","Wunsiedel i. Fichtelgebirge","Bayern","795","43","5.40880503144654","2020-10-11"
"281","Ansbach","Bayern","200","8","4.0","2020-10-11"
"282","Erlangen","Bayern","416","12","2.88461538461538","2020-10-11"
"283","Fürth","Bayern","642","38","5.9190031152648","2020-10-11"
"284","Nürnberg","Bayern","2305","53","2.29934924078091","2020-10-11"
"285","Schwabach","Bayern","131","2","1.52671755725191","2020-10-11"
"286","Ansbach","Bayern","732","28","3.82513661202186","2020-10-11"
"287","Erlangen-Höchstadt","Bayern","414","11","2.65700483091787","2020-10-11"
"288","Fürth","Bayern","625","58","9.28","2020-10-11"
"289","Nürnberger Land","Bayern","806","44","5.4590570719603","2020-10-11"
"290","Neustadt a.d. Aisch-Bad Windsheim","Bayern","305","6","1.9672131147541","2020-10-11"
"291","Roth","Bayern","382","7","1.83246073298429","2020-10-11"
"292","Weißenburg-Gunzenhausen","Bayern","462","25","5.41125541125541","2020-10-11"
"293","Aschaffenburg","Bayern","207","1","0.483091787439614","2020-10-11"
"294","Schweinfurt","Bayern","277","18","6.49819494584837","2020-10-11"
"295","Würzburg","Bayern","853","52","6.09613130128957","2020-10-11"
"296","Aschaffenburg","Bayern","741","42","5.66801619433198","2020-10-11"
"297","Bad Kissingen","Bayern","298","18","6.04026845637584","2020-10-11"
"298","Rhön-Grabfeld","Bayern","315","8","2.53968253968254","2020-10-11"
"299","Haßberge","Bayern","247","6","2.42914979757085","2020-10-11"
"300","Kitzingen","Bayern","304","4","1.31578947368421","2020-10-11"
"301","Miltenberg","Bayern","472","6","1.27118644067797","2020-10-11"
"302","Main-Spessart","Bayern","264","6","2.27272727272727","2020-10-11"
"303","Schweinfurt","Bayern","721","25","3.46740638002774","2020-10-11"
"304","Würzburg","Bayern","689","7","1.01596516690856","2020-10-11"
"305","Augsburg","Bayern","1151","16","1.39009556907037","2020-10-11"
"306","Kaufbeuren","Bayern","212","9","4.24528301886792","2020-10-11"
"307","Kempten (Allgäu)","Bayern","198","10","5.05050505050505","2020-10-11"
"308","Memmingen","Bayern","179","1","0.558659217877095","2020-10-11"
"309","Aichach-Friedberg","Bayern","539","20","3.71057513914657","2020-10-11"
"310","Augsburg","Bayern","818","11","1.34474327628362","2020-10-11"
"311","Dillingen a.d. Donau","Bayern","390","29","7.43589743589744","2020-10-11"
"312","Günzburg","Bayern","453","4","0.883002207505519","2020-10-11"
"313","Neu-Ulm","Bayern","888","26","2.92792792792793","2020-10-11"
"314","Lindau (Bodensee)","Bayern","336","8","2.38095238095238","2020-10-11"
"315","Ostallgäu","Bayern","734","40","5.44959128065395","2020-10-11"
"316","Unterallgäu","Bayern","530","17","3.20754716981132","2020-10-11"
"317","Donau-Ries","Bayern","523","26","4.97131931166348","2020-10-11"
"318","Oberallgäu","Bayern","307","7","2.28013029315961","2020-10-11"
"319","Regionalverband Saarbrücken","Saarland","1454","114","7.8404401650619","2020-10-11"
"320","Merzig-Wadern","Saarland","341","3","0.879765395894428","2020-10-11"
"321","Neunkirchen","Saarland","373","12","3.2171581769437","2020-10-11"
"322","Saarlouis","Saarland","769","24","3.12093628088427","2020-10-11"
"323","Saarpfalz-Kreis","Saarland","493","18","3.65111561866126","2020-10-11"
"324","St. Wendel","Saarland","243","6","2.46913580246914","2020-10-11"
"326","Brandenburg an der Havel","Brandenburg","85","1","1.17647058823529","2020-10-11"
"327","Cottbus","Brandenburg","82","0","0.0","2020-10-11"
"328","Frankfurt (Oder)","Brandenburg","84","0","0.0","2020-10-11"
"329","Potsdam","Brandenburg","762","51","6.69291338582677","2020-10-11"
"330","Barnim","Brandenburg","519","29","5.58766859344894","2020-10-11"
"331","Dahme-Spreewald","Brandenburg","359","8","2.22841225626741","2020-10-11"
"332","Elbe-Elster","Brandenburg","118","3","2.54237288135593","2020-10-11"
"333","Havelland","Brandenburg","291","6","2.06185567010309","2020-10-11"
"334","Märkisch-Oderland","Brandenburg","317","4","1.26182965299685","2020-10-11"
"335","Oberhavel","Brandenburg","434","9","2.07373271889401","2020-10-11"
"336","Oberspreewald-Lausitz","Brandenburg","97","2","2.06185567010309","2020-10-11"
"337","Oder-Spree","Brandenburg","249","3","1.20481927710843","2020-10-11"
"338","Ostprignitz-Ruppin","Brandenburg","117","0","0.0","2020-10-11"
"339","Potsdam-Mittelmark","Brandenburg","701","38","5.42082738944365","2020-10-11"
"340","Prignitz","Brandenburg","58","0","0.0","2020-10-11"
"341","Spree-Neiße","Brandenburg","103","0","0.0","2020-10-11"
"342","Teltow-Fläming","Brandenburg","299","13","4.34782608695652","2020-10-11"
"343","Uckermark","Brandenburg","65","2","3.07692307692308","2020-10-11"
"344","Rostock","Mecklenburg-Vorpommern","214","2","0.934579439252336","2020-10-11"
"345","Schwerin","Mecklenburg-Vorpommern","135","0","0.0","2020-10-11"
