"ObjectId","Landkreis","Bundesland","Infektionen","Infektionsrate","Neuinfektionen pro 100k EW","Todesfälle","Letalitätsrate","Aktualisiert"
"315","Ostallgäu","Bayern","705","0.502437355682887","502.437355682887","39","5.53191489361702","2020-10-04"
"316","Unterallgäu","Bayern","480","0.333238452940482","333.238452940482","17","3.54166666666667","2020-10-04"
"317","Donau-Ries","Bayern","503","0.376790315814706","376.790315814706","26","5.16898608349901","2020-10-04"
"318","Oberallgäu","Bayern","292","0.18794814690851","187.94814690851","7","2.3972602739726","2020-10-04"
"319","Regionalverband Saarbrücken","Saarland","1392","0.42219175755517","422.19175755517","114","8.18965517241379","2020-10-04"
"320","Merzig-Wadern","Saarland","295","0.285393649749434","285.393649749434","3","1.01694915254237","2020-10-04"
"321","Neunkirchen","Saarland","347","0.26246917689061","262.46917689061","12","3.45821325648415","2020-10-04"
"322","Saarlouis","Saarland","718","0.36782598449803","367.82598449803","24","3.34261838440111","2020-10-04"
"323","Saarpfalz-Kreis","Saarland","436","0.305683897609916","305.683897609916","18","4.12844036697248","2020-10-04"
"324","St. Wendel","Saarland","192","0.219687174616978","219.687174616978","6","3.125","2020-10-04"
"326","Brandenburg an der Havel","Brandenburg","81","0.112306583106872","112.306583106872","1","1.23456790123457","2020-10-04"
"327","Cottbus","Brandenburg","55","0.0548798132090721","54.8798132090721","0","0.0","2020-10-04"
"328","Frankfurt (Oder)","Brandenburg","75","0.129594111243585","129.594111243585","0","0.0","2020-10-04"
"329","Potsdam","Brandenburg","738","0.414399541802133","414.399541802133","51","6.91056910569106","2020-10-04"
"330","Barnim","Brandenburg","498","0.272488509520683","272.488509520683","29","5.82329317269076","2020-10-04"
"331","Dahme-Spreewald","Brandenburg","336","0.198737778513844","198.737778513844","8","2.38095238095238","2020-10-04"
"332","Elbe-Elster","Brandenburg","108","0.105224185974006","105.224185974006","3","2.77777777777778","2020-10-04"
"333","Havelland","Brandenburg","269","0.166142709793773","166.142709793773","6","2.23048327137546","2020-10-04"
